S No,Vehicle Class,State,Year,Month Wise,Value
3,AMBULANCE,Bihar(48),2026,FEB,116
4,ARTICULATED VEHICLE,Bihar(48),2026,FEB,77
5,BUS,Bihar(48),2026,FEB,264
6,CONSTRUCTION EQUIPMENT VEHICLE,Bihar(48),2026,FEB,112
7,DUMPER,Bihar(48),2026,FEB,4
8,E-RICKSHAW(P),Bihar(48),2026,FEB,"3,285"
9,E-RICKSHAW WITH CART (G),Bihar(48),2026,FEB,264
10,EXCAVATOR (NT),Bihar(48),2026,FEB,2
11,GOODS CARRIER,Bihar(48),2026,FEB,"2,067"
12,HARVESTER,Bihar(48),2026,FEB,41
13,MAXI CAB,Bihar(48),2026,FEB,141
14,M-CYCLE/SCOOTER,Bihar(48),2026,FEB,"75,592"
15,M-CYCLE/SCOOTER-WITH SIDE CAR,Bihar(48),2026,FEB,181
16,MOPED,Bihar(48),2026,FEB,"1,133"
17,MOTOR CAB,Bihar(48),2026,FEB,387
18,MOTOR CAR,Bihar(48),2026,FEB,"6,479"
19,MOTOR CYCLE/SCOOTER-SIDECAR(T),Bihar(48),2026,FEB,1
20,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Bihar(48),2026,FEB,40
21,MOTORISED CYCLE (CC > 25CC),Bihar(48),2026,FEB,39
22,OMNI BUS,Bihar(48),2026,FEB,31
23,OMNI BUS (PRIVATE USE),Bihar(48),2026,FEB,2
24,THREE WHEELER (GOODS),Bihar(48),2026,FEB,673
25,THREE WHEELER (PASSENGER),Bihar(48),2026,FEB,"3,341"
26,TRACTOR (COMMERCIAL),Bihar(48),2026,FEB,965
27,TRAILER (AGRICULTURAL),Bihar(48),2026,FEB,9
28,TRAILER (COMMERCIAL),Bihar(48),2026,FEB,564
1,ADAPTED VEHICLE,Chhattisgarh(31),2026,JAN,4
2,AGRICULTURAL TRACTOR,Chhattisgarh(31),2026,JAN,"4,208"
3,AMBULANCE,Chhattisgarh(31),2026,JAN,33
4,ARTICULATED VEHICLE,Chhattisgarh(31),2026,JAN,324
5,BUS,Chhattisgarh(31),2026,JAN,127
6,CASH VAN,Chhattisgarh(31),2026,JAN,14
7,CONSTRUCTION EQUIPMENT VEHICLE,Chhattisgarh(31),2026,JAN,93
8,CRANE MOUNTED VEHICLE,Chhattisgarh(31),2026,JAN,46
9,DUMPER,Chhattisgarh(31),2026,JAN,1
10,EARTH MOVING EQUIPMENT,Chhattisgarh(31),2026,JAN,7
11,EDUCATIONAL INSTITUTION BUS,Chhattisgarh(31),2026,JAN,16
12,E-RICKSHAW(P),Chhattisgarh(31),2026,JAN,324
13,E-RICKSHAW WITH CART (G),Chhattisgarh(31),2026,JAN,249
14,EXCAVATOR (NT),Chhattisgarh(31),2026,JAN,211
15,FIRE TENDERS,Chhattisgarh(31),2026,JAN,1
16,FORK LIFT,Chhattisgarh(31),2026,JAN,2
17,GOODS CARRIER,Chhattisgarh(31),2026,JAN,"2,945"
18,HARVESTER,Chhattisgarh(31),2026,JAN,61
19,HEARSES,Chhattisgarh(31),2026,JAN,5
20,MAXI CAB,Chhattisgarh(31),2026,JAN,101
21,M-CYCLE/SCOOTER,Chhattisgarh(31),2026,JAN,"51,081"
22,M-CYCLE/SCOOTER-WITH SIDE CAR,Chhattisgarh(31),2026,JAN,1
23,MOPED,Chhattisgarh(31),2026,JAN,491
24,MOTOR CAB,Chhattisgarh(31),2026,JAN,220
25,MOTOR CAR,Chhattisgarh(31),2026,JAN,"11,540"
26,OMNI BUS,Chhattisgarh(31),2026,JAN,1
27,OMNI BUS (PRIVATE USE),Chhattisgarh(31),2026,JAN,450
28,PRIVATE SERVICE VEHICLE,Chhattisgarh(31),2026,JAN,8
29,ROAD ROLLER,Chhattisgarh(31),2026,JAN,1
30,THREE WHEELER (GOODS),Chhattisgarh(31),2026,JAN,148
31,THREE WHEELER (PASSENGER),Chhattisgarh(31),2026,JAN,658
32,TRACTOR (COMMERCIAL),Chhattisgarh(31),2026,JAN,197
33,TRAILER (AGRICULTURAL),Chhattisgarh(31),2026,JAN,"1,347"
34,TRAILER (COMMERCIAL),Chhattisgarh(31),2026,JAN,29
35,VEHICLE FITTED WITH COMPRESSOR,Chhattisgarh(31),2026,JAN,4
36,VEHICLE FITTED WITH RIG,Chhattisgarh(31),2026,JAN,1
1,ADAPTED VEHICLE,Chhattisgarh(31),2026,FEB,1
2,AGRICULTURAL TRACTOR,Chhattisgarh(31),2026,FEB,"2,796"
3,AMBULANCE,Chhattisgarh(31),2026,FEB,15
4,ARTICULATED VEHICLE,Chhattisgarh(31),2026,FEB,174
5,BUS,Chhattisgarh(31),2026,FEB,87
6,CASH VAN,Chhattisgarh(31),2026,FEB,6
7,CONSTRUCTION EQUIPMENT VEHICLE,Chhattisgarh(31),2026,FEB,94
8,CRANE MOUNTED VEHICLE,Chhattisgarh(31),2026,FEB,28
9,DUMPER,Chhattisgarh(31),2026,FEB,3
10,EARTH MOVING EQUIPMENT,Chhattisgarh(31),2026,FEB,9
11,EDUCATIONAL INSTITUTION BUS,Chhattisgarh(31),2026,FEB,18
12,E-RICKSHAW(P),Chhattisgarh(31),2026,FEB,208
13,E-RICKSHAW WITH CART (G),Chhattisgarh(31),2026,FEB,158
14,EXCAVATOR (NT),Chhattisgarh(31),2026,FEB,163
15,FIRE TENDERS,Chhattisgarh(31),2026,FEB,0
16,FORK LIFT,Chhattisgarh(31),2026,FEB,6
17,GOODS CARRIER,Chhattisgarh(31),2026,FEB,"2,180"
18,HARVESTER,Chhattisgarh(31),2026,FEB,57
19,HEARSES,Chhattisgarh(31),2026,FEB,0
20,MAXI CAB,Chhattisgarh(31),2026,FEB,94
21,M-CYCLE/SCOOTER,Chhattisgarh(31),2026,FEB,"36,291"
22,M-CYCLE/SCOOTER-WITH SIDE CAR,Chhattisgarh(31),2026,FEB,0
23,MOPED,Chhattisgarh(31),2026,FEB,406
24,MOTOR CAB,Chhattisgarh(31),2026,FEB,188
25,MOTOR CAR,Chhattisgarh(31),2026,FEB,"8,350"
26,OMNI BUS,Chhattisgarh(31),2026,FEB,0
27,OMNI BUS (PRIVATE USE),Chhattisgarh(31),2026,FEB,322
28,PRIVATE SERVICE VEHICLE,Chhattisgarh(31),2026,FEB,2
29,ROAD ROLLER,Chhattisgarh(31),2026,FEB,1
30,THREE WHEELER (GOODS),Chhattisgarh(31),2026,FEB,155
31,THREE WHEELER (PASSENGER),Chhattisgarh(31),2026,FEB,479
32,TRACTOR (COMMERCIAL),Chhattisgarh(31),2026,FEB,130
33,TRAILER (AGRICULTURAL),Chhattisgarh(31),2026,FEB,710
34,TRAILER (COMMERCIAL),Chhattisgarh(31),2026,FEB,12
35,VEHICLE FITTED WITH COMPRESSOR,Chhattisgarh(31),2026,FEB,0
36,VEHICLE FITTED WITH RIG,Chhattisgarh(31),2026,FEB,0
1,ADAPTED VEHICLE,Chandigarh(1),2026,JAN,24
2,AMBULANCE,Chandigarh(1),2026,JAN,0
3,ARMOURED/SPECIALISED VEHICLE,Chandigarh(1),2026,JAN,7
4,BUS,Chandigarh(1),2026,JAN,35
5,CONSTRUCTION EQUIPMENT VEHICLE,Chandigarh(1),2026,JAN,0
6,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),Chandigarh(1),2026,JAN,0
7,EDUCATIONAL INSTITUTION BUS,Chandigarh(1),2026,JAN,2
8,E-RICKSHAW(P),Chandigarh(1),2026,JAN,49
9,E-RICKSHAW WITH CART (G),Chandigarh(1),2026,JAN,58
10,GOODS CARRIER,Chandigarh(1),2026,JAN,65
11,MAXI CAB,Chandigarh(1),2026,JAN,3
12,M-CYCLE/SCOOTER,Chandigarh(1),2026,JAN,"2,307"
13,MOPED,Chandigarh(1),2026,JAN,0
14,MOTOR CAB,Chandigarh(1),2026,JAN,10
15,MOTOR CAR,Chandigarh(1),2026,JAN,"2,177"
16,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Chandigarh(1),2026,JAN,6
17,THREE WHEELER (GOODS),Chandigarh(1),2026,JAN,20
18,THREE WHEELER (PASSENGER),Chandigarh(1),2026,JAN,26
1,ADAPTED VEHICLE,Chandigarh(1),2026,FEB,11
2,AMBULANCE,Chandigarh(1),2026,FEB,2
3,ARMOURED/SPECIALISED VEHICLE,Chandigarh(1),2026,FEB,0
4,BUS,Chandigarh(1),2026,FEB,24
5,CONSTRUCTION EQUIPMENT VEHICLE,Chandigarh(1),2026,FEB,1
6,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),Chandigarh(1),2026,FEB,1
7,EDUCATIONAL INSTITUTION BUS,Chandigarh(1),2026,FEB,2
8,E-RICKSHAW(P),Chandigarh(1),2026,FEB,34
9,E-RICKSHAW WITH CART (G),Chandigarh(1),2026,FEB,43
10,GOODS CARRIER,Chandigarh(1),2026,FEB,49
11,MAXI CAB,Chandigarh(1),2026,FEB,0
12,M-CYCLE/SCOOTER,Chandigarh(1),2026,FEB,"1,711"
13,MOPED,Chandigarh(1),2026,FEB,2
14,MOTOR CAB,Chandigarh(1),2026,FEB,5
15,MOTOR CAR,Chandigarh(1),2026,FEB,"1,221"
16,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Chandigarh(1),2026,FEB,4
17,THREE WHEELER (GOODS),Chandigarh(1),2026,FEB,21
18,THREE WHEELER (PASSENGER),Chandigarh(1),2026,FEB,23
1,AGRICULTURAL TRACTOR,UT of DNH and DD(3),2026,JAN,0
2,AMBULANCE,UT of DNH and DD(3),2026,JAN,1
3,ARTICULATED VEHICLE,UT of DNH and DD(3),2026,JAN,2
4,BUS,UT of DNH and DD(3),2026,JAN,25
5,CAMPER VAN / TRAILER,UT of DNH and DD(3),2026,JAN,0
6,CAMPER VAN / TRAILER (PRIVATE USE),UT of DNH and DD(3),2026,JAN,1
7,CONSTRUCTION EQUIPMENT VEHICLE,UT of DNH and DD(3),2026,JAN,5
8,CRANE MOUNTED VEHICLE,UT of DNH and DD(3),2026,JAN,0
9,DUMPER,UT of DNH and DD(3),2026,JAN,10
10,FORK LIFT,UT of DNH and DD(3),2026,JAN,6
11,GOODS CARRIER,UT of DNH and DD(3),2026,JAN,261
12,MAXI CAB,UT of DNH and DD(3),2026,JAN,0
13,M-CYCLE/SCOOTER,UT of DNH and DD(3),2026,JAN,"1,025"
14,MOPED,UT of DNH and DD(3),2026,JAN,276
15,MOTOR CAB,UT of DNH and DD(3),2026,JAN,2
16,MOTOR CAR,UT of DNH and DD(3),2026,JAN,796
17,MOTOR CYCLE/SCOOTER-USED FOR HIRE,UT of DNH and DD(3),2026,JAN,0
18,MOTORISED CYCLE (CC > 25CC),UT of DNH and DD(3),2026,JAN,14
19,OMNI BUS,UT of DNH and DD(3),2026,JAN,0
20,OMNI BUS (PRIVATE USE),UT of DNH and DD(3),2026,JAN,1
21,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),UT of DNH and DD(3),2026,JAN,1
22,THREE WHEELER (GOODS),UT of DNH and DD(3),2026,JAN,5
23,THREE WHEELER (PASSENGER),UT of DNH and DD(3),2026,JAN,0
24,THREE WHEELER (PERSONAL),UT of DNH and DD(3),2026,JAN,1
25,TRACTOR (COMMERCIAL),UT of DNH and DD(3),2026,JAN,0
26,TRAILER (COMMERCIAL),UT of DNH and DD(3),2026,JAN,0
1,AGRICULTURAL TRACTOR,UT of DNH and DD(3),2026,FEB,1
2,AMBULANCE,UT of DNH and DD(3),2026,FEB,0
3,ARTICULATED VEHICLE,UT of DNH and DD(3),2026,FEB,4
4,BUS,UT of DNH and DD(3),2026,FEB,53
5,CAMPER VAN / TRAILER,UT of DNH and DD(3),2026,FEB,1
6,CAMPER VAN / TRAILER (PRIVATE USE),UT of DNH and DD(3),2026,FEB,0
7,CONSTRUCTION EQUIPMENT VEHICLE,UT of DNH and DD(3),2026,FEB,5
8,CRANE MOUNTED VEHICLE,UT of DNH and DD(3),2026,FEB,1
9,DUMPER,UT of DNH and DD(3),2026,FEB,0
10,FORK LIFT,UT of DNH and DD(3),2026,FEB,3
11,GOODS CARRIER,UT of DNH and DD(3),2026,FEB,209
12,MAXI CAB,UT of DNH and DD(3),2026,FEB,3
13,M-CYCLE/SCOOTER,UT of DNH and DD(3),2026,FEB,918
14,MOPED,UT of DNH and DD(3),2026,FEB,164
15,MOTOR CAB,UT of DNH and DD(3),2026,FEB,31
16,MOTOR CAR,UT of DNH and DD(3),2026,FEB,490
17,MOTOR CYCLE/SCOOTER-USED FOR HIRE,UT of DNH and DD(3),2026,FEB,7
18,MOTORISED CYCLE (CC > 25CC),UT of DNH and DD(3),2026,FEB,7
19,OMNI BUS,UT of DNH and DD(3),2026,FEB,1
20,OMNI BUS (PRIVATE USE),UT of DNH and DD(3),2026,FEB,1
21,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),UT of DNH and DD(3),2026,FEB,0
22,THREE WHEELER (GOODS),UT of DNH and DD(3),2026,FEB,4
23,THREE WHEELER (PASSENGER),UT of DNH and DD(3),2026,FEB,2
24,THREE WHEELER (PERSONAL),UT of DNH and DD(3),2026,FEB,0
25,TRACTOR (COMMERCIAL),UT of DNH and DD(3),2026,FEB,7
26,TRAILER (COMMERCIAL),UT of DNH and DD(3),2026,FEB,12
1,ADAPTED VEHICLE,Delhi(16),2026,JAN,32
2,AMBULANCE,Delhi(16),2026,JAN,5
3,BUS,Delhi(16),2026,JAN,341
4,CASH VAN,Delhi(16),2026,JAN,1
5,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),Delhi(16),2026,JAN,0
6,E-RICKSHAW(P),Delhi(16),2026,JAN,213
7,E-RICKSHAW WITH CART (G),Delhi(16),2026,JAN,122
8,GOODS CARRIER,Delhi(16),2026,JAN,"2,297"
9,MAXI CAB,Delhi(16),2026,JAN,60
10,M-CYCLE/SCOOTER,Delhi(16),2026,JAN,"55,000"
11,M-CYCLE/SCOOTER-WITH SIDE CAR,Delhi(16),2026,JAN,3
12,MOPED,Delhi(16),2026,JAN,20
13,MOTOR CAB,Delhi(16),2026,JAN,363
14,MOTOR CAR,Delhi(16),2026,JAN,"24,635"
15,THREE WHEELER (GOODS),Delhi(16),2026,JAN,"1,383"
16,THREE WHEELER (PASSENGER),Delhi(16),2026,JAN,713
1,ADAPTED VEHICLE,Delhi(16),2026,FEB,9
2,AMBULANCE,Delhi(16),2026,FEB,15
3,BUS,Delhi(16),2026,FEB,185
4,CASH VAN,Delhi(16),2026,FEB,0
5,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),Delhi(16),2026,FEB,16
6,E-RICKSHAW(P),Delhi(16),2026,FEB,111
7,E-RICKSHAW WITH CART (G),Delhi(16),2026,FEB,101
8,GOODS CARRIER,Delhi(16),2026,FEB,"1,435"
9,MAXI CAB,Delhi(16),2026,FEB,31
10,M-CYCLE/SCOOTER,Delhi(16),2026,FEB,"33,389"
11,M-CYCLE/SCOOTER-WITH SIDE CAR,Delhi(16),2026,FEB,0
12,MOPED,Delhi(16),2026,FEB,12
13,MOTOR CAB,Delhi(16),2026,FEB,282
14,MOTOR CAR,Delhi(16),2026,FEB,"12,054"
15,THREE WHEELER (GOODS),Delhi(16),2026,FEB,873
16,THREE WHEELER (PASSENGER),Delhi(16),2026,FEB,413
1,ADAPTED VEHICLE,Goa(13),2026,JAN,2
2,AGRICULTURAL TRACTOR,Goa(13),2026,JAN,2
3,AMBULANCE,Goa(13),2026,JAN,1
4,BUS,Goa(13),2026,JAN,37
5,CONSTRUCTION EQUIPMENT VEHICLE,Goa(13),2026,JAN,13
6,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),Goa(13),2026,JAN,2
7,CRANE MOUNTED VEHICLE,Goa(13),2026,JAN,1
8,E-RICKSHAW WITH CART (G),Goa(13),2026,JAN,2
9,GOODS CARRIER,Goa(13),2026,JAN,362
10,HEARSES,Goa(13),2026,JAN,1
11,MAXI CAB,Goa(13),2026,JAN,34
12,M-CYCLE/SCOOTER,Goa(13),2026,JAN,"5,093"
13,M-CYCLE/SCOOTER-WITH SIDE CAR,Goa(13),2026,JAN,0
14,MOTOR CAB,Goa(13),2026,JAN,181
15,MOTOR CAR,Goa(13),2026,JAN,"2,204"
16,MOTOR CYCLE/SCOOTER-SIDECAR(T),Goa(13),2026,JAN,6
17,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Goa(13),2026,JAN,194
18,THREE WHEELER (GOODS),Goa(13),2026,JAN,6
19,THREE WHEELER (PASSENGER),Goa(13),2026,JAN,17
20,THREE WHEELER (PERSONAL),Goa(13),2026,JAN,2
21,TOW TRUCK,Goa(13),2026,JAN,0
1,ADAPTED VEHICLE,Goa(13),2026,FEB,2
2,AGRICULTURAL TRACTOR,Goa(13),2026,FEB,1
3,AMBULANCE,Goa(13),2026,FEB,2
4,BUS,Goa(13),2026,FEB,12
5,CONSTRUCTION EQUIPMENT VEHICLE,Goa(13),2026,FEB,3
6,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),Goa(13),2026,FEB,0
7,CRANE MOUNTED VEHICLE,Goa(13),2026,FEB,0
8,E-RICKSHAW WITH CART (G),Goa(13),2026,FEB,0
9,GOODS CARRIER,Goa(13),2026,FEB,198
10,HEARSES,Goa(13),2026,FEB,0
11,MAXI CAB,Goa(13),2026,FEB,11
12,M-CYCLE/SCOOTER,Goa(13),2026,FEB,"4,032"
13,M-CYCLE/SCOOTER-WITH SIDE CAR,Goa(13),2026,FEB,1
14,MOTOR CAB,Goa(13),2026,FEB,161
15,MOTOR CAR,Goa(13),2026,FEB,"1,158"
16,MOTOR CYCLE/SCOOTER-SIDECAR(T),Goa(13),2026,FEB,5
17,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Goa(13),2026,FEB,125
18,THREE WHEELER (GOODS),Goa(13),2026,FEB,3
19,THREE WHEELER (PASSENGER),Goa(13),2026,FEB,9
20,THREE WHEELER (PERSONAL),Goa(13),2026,FEB,0
21,TOW TRUCK,Goa(13),2026,FEB,1
1,ADAPTED VEHICLE,Gujarat(37),2026,JAN,72
2,AGRICULTURAL TRACTOR,Gujarat(37),2026,JAN,"14,635"
3,AMBULANCE,Gujarat(37),2026,JAN,61
4,ANIMAL AMBULANCE,Gujarat(37),2026,JAN,0
5,ARTICULATED VEHICLE,Gujarat(37),2026,JAN,16
6,BUS,Gujarat(37),2026,JAN,168
7,CAMPER VAN / TRAILER,Gujarat(37),2026,JAN,0
8,CASH VAN,Gujarat(37),2026,JAN,25
9,CONSTRUCTION EQUIPMENT VEHICLE,Gujarat(37),2026,JAN,755
10,CRANE MOUNTED VEHICLE,Gujarat(37),2026,JAN,154
11,DUMPER,Gujarat(37),2026,JAN,164
12,EARTH MOVING EQUIPMENT,Gujarat(37),2026,JAN,5
13,EDUCATIONAL INSTITUTION BUS,Gujarat(37),2026,JAN,3
14,E-RICKSHAW(P),Gujarat(37),2026,JAN,6
15,E-RICKSHAW WITH CART (G),Gujarat(37),2026,JAN,122
16,EXCAVATOR (NT),Gujarat(37),2026,JAN,0
17,FIRE FIGHTING VEHICLE,Gujarat(37),2026,JAN,2
18,FIRE TENDERS,Gujarat(37),2026,JAN,16
19,FORK LIFT,Gujarat(37),2026,JAN,25
20,GOODS CARRIER,Gujarat(37),2026,JAN,"8,520"
21,HARVESTER,Gujarat(37),2026,JAN,4
22,HEARSES,Gujarat(37),2026,JAN,2
23,MAXI CAB,Gujarat(37),2026,JAN,56
24,M-CYCLE/SCOOTER,Gujarat(37),2026,JAN,"1,23,627"
25,M-CYCLE/SCOOTER-WITH SIDE CAR,Gujarat(37),2026,JAN,14
26,MOBILE CLINIC,Gujarat(37),2026,JAN,1
27,MOPED,Gujarat(37),2026,JAN,"8,552"
28,MOTOR CAB,Gujarat(37),2026,JAN,618
29,MOTOR CAR,Gujarat(37),2026,JAN,"39,403"
30,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Gujarat(37),2026,JAN,7
31,MOTORISED CYCLE (CC > 25CC),Gujarat(37),2026,JAN,"1,606"
32,OMNI BUS,Gujarat(37),2026,JAN,1
33,OMNI BUS (PRIVATE USE),Gujarat(37),2026,JAN,0
34,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Gujarat(37),2026,JAN,9
35,RECOVERY VEHICLE,Gujarat(37),2026,JAN,5
36,ROAD ROLLER,Gujarat(37),2026,JAN,5
37,SEMI-TRAILER (COMMERCIAL),Gujarat(37),2026,JAN,0
38,THREE WHEELER (GOODS),Gujarat(37),2026,JAN,"2,079"
39,THREE WHEELER (PASSENGER),Gujarat(37),2026,JAN,"7,319"
40,THREE WHEELER (PERSONAL),Gujarat(37),2026,JAN,1
41,TRACTOR (COMMERCIAL),Gujarat(37),2026,JAN,871
42,TRAILER (AGRICULTURAL),Gujarat(37),2026,JAN,443
43,TRAILER (COMMERCIAL),Gujarat(37),2026,JAN,74
1,ADAPTED VEHICLE,Gujarat(37),2026,FEB,75
2,AGRICULTURAL TRACTOR,Gujarat(37),2026,FEB,"4,218"
3,AMBULANCE,Gujarat(37),2026,FEB,31
4,ANIMAL AMBULANCE,Gujarat(37),2026,FEB,2
5,ARTICULATED VEHICLE,Gujarat(37),2026,FEB,3
6,BUS,Gujarat(37),2026,FEB,232
7,CAMPER VAN / TRAILER,Gujarat(37),2026,FEB,1
8,CASH VAN,Gujarat(37),2026,FEB,2
9,CONSTRUCTION EQUIPMENT VEHICLE,Gujarat(37),2026,FEB,689
10,CRANE MOUNTED VEHICLE,Gujarat(37),2026,FEB,114
11,DUMPER,Gujarat(37),2026,FEB,79
12,EARTH MOVING EQUIPMENT,Gujarat(37),2026,FEB,2
13,EDUCATIONAL INSTITUTION BUS,Gujarat(37),2026,FEB,0
14,E-RICKSHAW(P),Gujarat(37),2026,FEB,16
15,E-RICKSHAW WITH CART (G),Gujarat(37),2026,FEB,55
16,EXCAVATOR (NT),Gujarat(37),2026,FEB,2
17,FIRE FIGHTING VEHICLE,Gujarat(37),2026,FEB,2
18,FIRE TENDERS,Gujarat(37),2026,FEB,9
19,FORK LIFT,Gujarat(37),2026,FEB,27
20,GOODS CARRIER,Gujarat(37),2026,FEB,"6,195"
21,HARVESTER,Gujarat(37),2026,FEB,6
22,HEARSES,Gujarat(37),2026,FEB,2
23,MAXI CAB,Gujarat(37),2026,FEB,167
24,M-CYCLE/SCOOTER,Gujarat(37),2026,FEB,"89,729"
25,M-CYCLE/SCOOTER-WITH SIDE CAR,Gujarat(37),2026,FEB,17
26,MOBILE CLINIC,Gujarat(37),2026,FEB,0
27,MOPED,Gujarat(37),2026,FEB,"6,262"
28,MOTOR CAB,Gujarat(37),2026,FEB,"1,949"
29,MOTOR CAR,Gujarat(37),2026,FEB,"23,673"
30,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Gujarat(37),2026,FEB,0
31,MOTORISED CYCLE (CC > 25CC),Gujarat(37),2026,FEB,"1,222"
32,OMNI BUS,Gujarat(37),2026,FEB,0
33,OMNI BUS (PRIVATE USE),Gujarat(37),2026,FEB,1
34,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Gujarat(37),2026,FEB,8
35,RECOVERY VEHICLE,Gujarat(37),2026,FEB,1
36,ROAD ROLLER,Gujarat(37),2026,FEB,0
37,SEMI-TRAILER (COMMERCIAL),Gujarat(37),2026,FEB,1
38,THREE WHEELER (GOODS),Gujarat(37),2026,FEB,"1,640"
39,THREE WHEELER (PASSENGER),Gujarat(37),2026,FEB,"5,035"
40,THREE WHEELER (PERSONAL),Gujarat(37),2026,FEB,0
41,TRACTOR (COMMERCIAL),Gujarat(37),2026,FEB,657
42,TRAILER (AGRICULTURAL),Gujarat(37),2026,FEB,422
43,TRAILER (COMMERCIAL),Gujarat(37),2026,FEB,61
1,AGRICULTURAL TRACTOR,Himachal Pradesh(96),2026,JAN,305
2,AMBULANCE,Himachal Pradesh(96),2026,JAN,3
3,BUS,Himachal Pradesh(96),2026,JAN,28
4,CAMPER VAN / TRAILER (PRIVATE USE),Himachal Pradesh(96),2026,JAN,3
5,CONSTRUCTION EQUIPMENT VEHICLE,Himachal Pradesh(96),2026,JAN,37
6,CRANE MOUNTED VEHICLE,Himachal Pradesh(96),2026,JAN,2
7,EARTH MOVING EQUIPMENT,Himachal Pradesh(96),2026,JAN,1
8,EDUCATIONAL INSTITUTION BUS,Himachal Pradesh(96),2026,JAN,17
9,E-RICKSHAW WITH CART (G),Himachal Pradesh(96),2026,JAN,2
10,FORK LIFT,Himachal Pradesh(96),2026,JAN,0
11,GOODS CARRIER,Himachal Pradesh(96),2026,JAN,"1,001"
12,MAXI CAB,Himachal Pradesh(96),2026,JAN,43
13,M-CYCLE/SCOOTER,Himachal Pradesh(96),2026,JAN,"7,168"
14,M-CYCLE/SCOOTER-WITH SIDE CAR,Himachal Pradesh(96),2026,JAN,4
15,MOPED,Himachal Pradesh(96),2026,JAN,39
16,MOTOR CAB,Himachal Pradesh(96),2026,JAN,424
17,MOTOR CAR,Himachal Pradesh(96),2026,JAN,"6,231"
18,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Himachal Pradesh(96),2026,JAN,74
19,OMNI BUS,Himachal Pradesh(96),2026,JAN,22
20,PRIVATE SERVICE VEHICLE,Himachal Pradesh(96),2026,JAN,1
21,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Himachal Pradesh(96),2026,JAN,2
22,RECOVERY VEHICLE,Himachal Pradesh(96),2026,JAN,2
23,THREE WHEELER (GOODS),Himachal Pradesh(96),2026,JAN,6
24,THREE WHEELER (PASSENGER),Himachal Pradesh(96),2026,JAN,8
1,AGRICULTURAL TRACTOR,Himachal Pradesh(96),2026,FEB,129
2,AMBULANCE,Himachal Pradesh(96),2026,FEB,3
3,BUS,Himachal Pradesh(96),2026,FEB,26
4,CAMPER VAN / TRAILER (PRIVATE USE),Himachal Pradesh(96),2026,FEB,0
5,CONSTRUCTION EQUIPMENT VEHICLE,Himachal Pradesh(96),2026,FEB,25
6,CRANE MOUNTED VEHICLE,Himachal Pradesh(96),2026,FEB,0
7,EARTH MOVING EQUIPMENT,Himachal Pradesh(96),2026,FEB,0
8,EDUCATIONAL INSTITUTION BUS,Himachal Pradesh(96),2026,FEB,7
9,E-RICKSHAW WITH CART (G),Himachal Pradesh(96),2026,FEB,1
10,FORK LIFT,Himachal Pradesh(96),2026,FEB,1
11,GOODS CARRIER,Himachal Pradesh(96),2026,FEB,784
12,MAXI CAB,Himachal Pradesh(96),2026,FEB,47
13,M-CYCLE/SCOOTER,Himachal Pradesh(96),2026,FEB,"4,190"
14,M-CYCLE/SCOOTER-WITH SIDE CAR,Himachal Pradesh(96),2026,FEB,7
15,MOPED,Himachal Pradesh(96),2026,FEB,24
16,MOTOR CAB,Himachal Pradesh(96),2026,FEB,638
17,MOTOR CAR,Himachal Pradesh(96),2026,FEB,"3,419"
18,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Himachal Pradesh(96),2026,FEB,32
19,OMNI BUS,Himachal Pradesh(96),2026,FEB,30
20,PRIVATE SERVICE VEHICLE,Himachal Pradesh(96),2026,FEB,3
21,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Himachal Pradesh(96),2026,FEB,0
22,RECOVERY VEHICLE,Himachal Pradesh(96),2026,FEB,0
23,THREE WHEELER (GOODS),Himachal Pradesh(96),2026,FEB,10
24,THREE WHEELER (PASSENGER),Himachal Pradesh(96),2026,FEB,3
1,ADAPTED VEHICLE,Haryana(104),2026,JAN,4
2,AGRICULTURAL TRACTOR,Haryana(104),2026,JAN,"5,288"
3,AMBULANCE,Haryana(104),2026,JAN,46
4,ANIMAL AMBULANCE,Haryana(104),2026,JAN,3
5,ARTICULATED VEHICLE,Haryana(104),2026,JAN,95
6,BUS,Haryana(104),2026,JAN,58
