S No,Fuel,State,Year,Vehicle Category,Value
12,PETROL/HYBRID,Chhattisgarh(31),2026,EURO 6A,0
13,PURE EV,Chhattisgarh(31),2026,EURO 6A,0
14,STRONG HYBRID EV,Chhattisgarh(31),2026,EURO 6A,0
1,CNG ONLY,Chhattisgarh(31),2026,EURO  6AD,0
2,DIESEL,Chhattisgarh(31),2026,EURO  6AD,0
3,DIESEL/HYBRID,Chhattisgarh(31),2026,EURO  6AD,0
4,ELECTRIC(BOV),Chhattisgarh(31),2026,EURO  6AD,0
5,ETHANOL,Chhattisgarh(31),2026,EURO  6AD,0
6,NOT APPLICABLE,Chhattisgarh(31),2026,EURO  6AD,0
7,PETROL,Chhattisgarh(31),2026,EURO  6AD,0
8,PETROL/CNG,Chhattisgarh(31),2026,EURO  6AD,0
9,PETROL(E20)/CNG,Chhattisgarh(31),2026,EURO  6AD,0
10,PETROL(E20)/HYBRID,Chhattisgarh(31),2026,EURO  6AD,0
11,PETROL/ETHANOL,Chhattisgarh(31),2026,EURO  6AD,0
12,PETROL/HYBRID,Chhattisgarh(31),2026,EURO  6AD,0
13,PURE EV,Chhattisgarh(31),2026,EURO  6AD,0
14,STRONG HYBRID EV,Chhattisgarh(31),2026,EURO  6AD,0
1,CNG ONLY,Chhattisgarh(31),2026,EURO 6B,0
2,DIESEL,Chhattisgarh(31),2026,EURO 6B,0
3,DIESEL/HYBRID,Chhattisgarh(31),2026,EURO 6B,0
4,ELECTRIC(BOV),Chhattisgarh(31),2026,EURO 6B,0
5,ETHANOL,Chhattisgarh(31),2026,EURO 6B,0
6,NOT APPLICABLE,Chhattisgarh(31),2026,EURO 6B,0
7,PETROL,Chhattisgarh(31),2026,EURO 6B,0
8,PETROL/CNG,Chhattisgarh(31),2026,EURO 6B,0
9,PETROL(E20)/CNG,Chhattisgarh(31),2026,EURO 6B,0
10,PETROL(E20)/HYBRID,Chhattisgarh(31),2026,EURO 6B,0
11,PETROL/ETHANOL,Chhattisgarh(31),2026,EURO 6B,0
12,PETROL/HYBRID,Chhattisgarh(31),2026,EURO 6B,0
13,PURE EV,Chhattisgarh(31),2026,EURO 6B,0
14,STRONG HYBRID EV,Chhattisgarh(31),2026,EURO 6B,0
1,CNG ONLY,Chhattisgarh(31),2026,EURO 6C,0
2,DIESEL,Chhattisgarh(31),2026,EURO 6C,0
3,DIESEL/HYBRID,Chhattisgarh(31),2026,EURO 6C,0
4,ELECTRIC(BOV),Chhattisgarh(31),2026,EURO 6C,0
5,ETHANOL,Chhattisgarh(31),2026,EURO 6C,0
6,NOT APPLICABLE,Chhattisgarh(31),2026,EURO 6C,0
7,PETROL,Chhattisgarh(31),2026,EURO 6C,0
8,PETROL/CNG,Chhattisgarh(31),2026,EURO 6C,0
9,PETROL(E20)/CNG,Chhattisgarh(31),2026,EURO 6C,0
10,PETROL(E20)/HYBRID,Chhattisgarh(31),2026,EURO 6C,0
11,PETROL/ETHANOL,Chhattisgarh(31),2026,EURO 6C,0
12,PETROL/HYBRID,Chhattisgarh(31),2026,EURO 6C,0
13,PURE EV,Chhattisgarh(31),2026,EURO 6C,0
14,STRONG HYBRID EV,Chhattisgarh(31),2026,EURO 6C,0
1,CNG ONLY,Chhattisgarh(31),2026,EURO 6D,0
2,DIESEL,Chhattisgarh(31),2026,EURO 6D,0
3,DIESEL/HYBRID,Chhattisgarh(31),2026,EURO 6D,0
4,ELECTRIC(BOV),Chhattisgarh(31),2026,EURO 6D,0
5,ETHANOL,Chhattisgarh(31),2026,EURO 6D,0
6,NOT APPLICABLE,Chhattisgarh(31),2026,EURO 6D,0
7,PETROL,Chhattisgarh(31),2026,EURO 6D,0
8,PETROL/CNG,Chhattisgarh(31),2026,EURO 6D,0
9,PETROL(E20)/CNG,Chhattisgarh(31),2026,EURO 6D,0
10,PETROL(E20)/HYBRID,Chhattisgarh(31),2026,EURO 6D,0
11,PETROL/ETHANOL,Chhattisgarh(31),2026,EURO 6D,0
12,PETROL/HYBRID,Chhattisgarh(31),2026,EURO 6D,0
13,PURE EV,Chhattisgarh(31),2026,EURO 6D,0
14,STRONG HYBRID EV,Chhattisgarh(31),2026,EURO 6D,0
1,CNG ONLY,Chhattisgarh(31),2026,Not Applicable,0
2,DIESEL,Chhattisgarh(31),2026,Not Applicable,0
3,DIESEL/HYBRID,Chhattisgarh(31),2026,Not Applicable,0
4,ELECTRIC(BOV),Chhattisgarh(31),2026,Not Applicable,0
5,ETHANOL,Chhattisgarh(31),2026,Not Applicable,0
6,NOT APPLICABLE,Chhattisgarh(31),2026,Not Applicable,0
7,PETROL,Chhattisgarh(31),2026,Not Applicable,0
8,PETROL/CNG,Chhattisgarh(31),2026,Not Applicable,0
9,PETROL(E20)/CNG,Chhattisgarh(31),2026,Not Applicable,0
10,PETROL(E20)/HYBRID,Chhattisgarh(31),2026,Not Applicable,0
11,PETROL/ETHANOL,Chhattisgarh(31),2026,Not Applicable,0
12,PETROL/HYBRID,Chhattisgarh(31),2026,Not Applicable,0
13,PURE EV,Chhattisgarh(31),2026,Not Applicable,0
14,STRONG HYBRID EV,Chhattisgarh(31),2026,Not Applicable,0
1,CNG ONLY,Chhattisgarh(31),2026,Not Available,0
2,DIESEL,Chhattisgarh(31),2026,Not Available,0
3,DIESEL/HYBRID,Chhattisgarh(31),2026,Not Available,0
4,ELECTRIC(BOV),Chhattisgarh(31),2026,Not Available,940
5,ETHANOL,Chhattisgarh(31),2026,Not Available,0
6,NOT APPLICABLE,Chhattisgarh(31),2026,Not Available,"2,098"
7,PETROL,Chhattisgarh(31),2026,Not Available,0
8,PETROL/CNG,Chhattisgarh(31),2026,Not Available,0
9,PETROL(E20)/CNG,Chhattisgarh(31),2026,Not Available,0
10,PETROL(E20)/HYBRID,Chhattisgarh(31),2026,Not Available,0
11,PETROL/ETHANOL,Chhattisgarh(31),2026,Not Available,0
12,PETROL/HYBRID,Chhattisgarh(31),2026,Not Available,0
13,PURE EV,Chhattisgarh(31),2026,Not Available,"6,326"
14,STRONG HYBRID EV,Chhattisgarh(31),2026,Not Available,0
1,CNG ONLY,Chhattisgarh(31),2026,TREM STAGE IV,0
2,DIESEL,Chhattisgarh(31),2026,TREM STAGE IV,283
3,DIESEL/HYBRID,Chhattisgarh(31),2026,TREM STAGE IV,0
4,ELECTRIC(BOV),Chhattisgarh(31),2026,TREM STAGE IV,0
5,ETHANOL,Chhattisgarh(31),2026,TREM STAGE IV,0
6,NOT APPLICABLE,Chhattisgarh(31),2026,TREM STAGE IV,0
7,PETROL,Chhattisgarh(31),2026,TREM STAGE IV,0
8,PETROL/CNG,Chhattisgarh(31),2026,TREM STAGE IV,0
9,PETROL(E20)/CNG,Chhattisgarh(31),2026,TREM STAGE IV,0
10,PETROL(E20)/HYBRID,Chhattisgarh(31),2026,TREM STAGE IV,0
11,PETROL/ETHANOL,Chhattisgarh(31),2026,TREM STAGE IV,0
12,PETROL/HYBRID,Chhattisgarh(31),2026,TREM STAGE IV,0
13,PURE EV,Chhattisgarh(31),2026,TREM STAGE IV,0
14,STRONG HYBRID EV,Chhattisgarh(31),2026,TREM STAGE IV,0
1,CNG ONLY,Chhattisgarh(31),2026,TREM STAGE V,0
2,DIESEL,Chhattisgarh(31),2026,TREM STAGE V,0
3,DIESEL/HYBRID,Chhattisgarh(31),2026,TREM STAGE V,0
4,ELECTRIC(BOV),Chhattisgarh(31),2026,TREM STAGE V,0
5,ETHANOL,Chhattisgarh(31),2026,TREM STAGE V,0
6,NOT APPLICABLE,Chhattisgarh(31),2026,TREM STAGE V,0
7,PETROL,Chhattisgarh(31),2026,TREM STAGE V,0
8,PETROL/CNG,Chhattisgarh(31),2026,TREM STAGE V,0
9,PETROL(E20)/CNG,Chhattisgarh(31),2026,TREM STAGE V,0
10,PETROL(E20)/HYBRID,Chhattisgarh(31),2026,TREM STAGE V,0
11,PETROL/ETHANOL,Chhattisgarh(31),2026,TREM STAGE V,0
12,PETROL/HYBRID,Chhattisgarh(31),2026,TREM STAGE V,0
13,PURE EV,Chhattisgarh(31),2026,TREM STAGE V,0
14,STRONG HYBRID EV,Chhattisgarh(31),2026,TREM STAGE V,0
1,CNG ONLY,Chandigarh(1),2026,BS I,0
2,DIESEL,Chandigarh(1),2026,BS I,0
3,DIESEL/HYBRID,Chandigarh(1),2026,BS I,0
4,ELECTRIC(BOV),Chandigarh(1),2026,BS I,0
5,ETHANOL,Chandigarh(1),2026,BS I,0
6,PETROL,Chandigarh(1),2026,BS I,0
7,PETROL/CNG,Chandigarh(1),2026,BS I,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,BS I,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,BS I,0
10,PETROL/ETHANOL,Chandigarh(1),2026,BS I,0
11,PETROL/HYBRID,Chandigarh(1),2026,BS I,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,BS I,0
13,PURE EV,Chandigarh(1),2026,BS I,0
14,STRONG HYBRID EV,Chandigarh(1),2026,BS I,0
1,CNG ONLY,Chandigarh(1),2026,BS II,0
2,DIESEL,Chandigarh(1),2026,BS II,0
3,DIESEL/HYBRID,Chandigarh(1),2026,BS II,0
4,ELECTRIC(BOV),Chandigarh(1),2026,BS II,0
5,ETHANOL,Chandigarh(1),2026,BS II,0
6,PETROL,Chandigarh(1),2026,BS II,0
7,PETROL/CNG,Chandigarh(1),2026,BS II,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,BS II,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,BS II,0
10,PETROL/ETHANOL,Chandigarh(1),2026,BS II,0
11,PETROL/HYBRID,Chandigarh(1),2026,BS II,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,BS II,0
13,PURE EV,Chandigarh(1),2026,BS II,0
14,STRONG HYBRID EV,Chandigarh(1),2026,BS II,0
1,CNG ONLY,Chandigarh(1),2026,BS III,0
2,DIESEL,Chandigarh(1),2026,BS III,7
3,DIESEL/HYBRID,Chandigarh(1),2026,BS III,0
4,ELECTRIC(BOV),Chandigarh(1),2026,BS III,0
5,ETHANOL,Chandigarh(1),2026,BS III,0
6,PETROL,Chandigarh(1),2026,BS III,0
7,PETROL/CNG,Chandigarh(1),2026,BS III,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,BS III,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,BS III,0
10,PETROL/ETHANOL,Chandigarh(1),2026,BS III,0
11,PETROL/HYBRID,Chandigarh(1),2026,BS III,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,BS III,0
13,PURE EV,Chandigarh(1),2026,BS III,0
14,STRONG HYBRID EV,Chandigarh(1),2026,BS III,0
1,CNG ONLY,Chandigarh(1),2026,BS III (CEV),0
2,DIESEL,Chandigarh(1),2026,BS III (CEV),0
3,DIESEL/HYBRID,Chandigarh(1),2026,BS III (CEV),0
4,ELECTRIC(BOV),Chandigarh(1),2026,BS III (CEV),0
5,ETHANOL,Chandigarh(1),2026,BS III (CEV),0
6,PETROL,Chandigarh(1),2026,BS III (CEV),0
7,PETROL/CNG,Chandigarh(1),2026,BS III (CEV),0
8,PETROL(E20)/CNG,Chandigarh(1),2026,BS III (CEV),0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,BS III (CEV),0
10,PETROL/ETHANOL,Chandigarh(1),2026,BS III (CEV),0
11,PETROL/HYBRID,Chandigarh(1),2026,BS III (CEV),0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,BS III (CEV),0
13,PURE EV,Chandigarh(1),2026,BS III (CEV),0
14,STRONG HYBRID EV,Chandigarh(1),2026,BS III (CEV),0
1,CNG ONLY,Chandigarh(1),2026,BS III/IV,0
2,DIESEL,Chandigarh(1),2026,BS III/IV,0
3,DIESEL/HYBRID,Chandigarh(1),2026,BS III/IV,0
4,ELECTRIC(BOV),Chandigarh(1),2026,BS III/IV,0
5,ETHANOL,Chandigarh(1),2026,BS III/IV,0
6,PETROL,Chandigarh(1),2026,BS III/IV,0
7,PETROL/CNG,Chandigarh(1),2026,BS III/IV,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,BS III/IV,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,BS III/IV,0
10,PETROL/ETHANOL,Chandigarh(1),2026,BS III/IV,0
11,PETROL/HYBRID,Chandigarh(1),2026,BS III/IV,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,BS III/IV,0
13,PURE EV,Chandigarh(1),2026,BS III/IV,0
14,STRONG HYBRID EV,Chandigarh(1),2026,BS III/IV,0
1,CNG ONLY,Chandigarh(1),2026,BS IV,0
2,DIESEL,Chandigarh(1),2026,BS IV,0
3,DIESEL/HYBRID,Chandigarh(1),2026,BS IV,0
4,ELECTRIC(BOV),Chandigarh(1),2026,BS IV,0
5,ETHANOL,Chandigarh(1),2026,BS IV,0
6,PETROL,Chandigarh(1),2026,BS IV,0
7,PETROL/CNG,Chandigarh(1),2026,BS IV,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,BS IV,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,BS IV,0
10,PETROL/ETHANOL,Chandigarh(1),2026,BS IV,0
11,PETROL/HYBRID,Chandigarh(1),2026,BS IV,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,BS IV,0
13,PURE EV,Chandigarh(1),2026,BS IV,0
14,STRONG HYBRID EV,Chandigarh(1),2026,BS IV,0
1,CNG ONLY,Chandigarh(1),2026,BS IV/VI,0
2,DIESEL,Chandigarh(1),2026,BS IV/VI,0
3,DIESEL/HYBRID,Chandigarh(1),2026,BS IV/VI,0
4,ELECTRIC(BOV),Chandigarh(1),2026,BS IV/VI,0
5,ETHANOL,Chandigarh(1),2026,BS IV/VI,0
6,PETROL,Chandigarh(1),2026,BS IV/VI,0
7,PETROL/CNG,Chandigarh(1),2026,BS IV/VI,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,BS IV/VI,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,BS IV/VI,0
10,PETROL/ETHANOL,Chandigarh(1),2026,BS IV/VI,0
11,PETROL/HYBRID,Chandigarh(1),2026,BS IV/VI,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,BS IV/VI,0
13,PURE EV,Chandigarh(1),2026,BS IV/VI,0
14,STRONG HYBRID EV,Chandigarh(1),2026,BS IV/VI,0
1,CNG ONLY,Chandigarh(1),2026,BS VI,21
2,DIESEL,Chandigarh(1),2026,BS VI,878
3,DIESEL/HYBRID,Chandigarh(1),2026,BS VI,43
4,ELECTRIC(BOV),Chandigarh(1),2026,BS VI,0
5,ETHANOL,Chandigarh(1),2026,BS VI,1
6,PETROL,Chandigarh(1),2026,BS VI,"1,389"
7,PETROL/CNG,Chandigarh(1),2026,BS VI,39
8,PETROL(E20)/CNG,Chandigarh(1),2026,BS VI,97
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,BS VI,200
10,PETROL/ETHANOL,Chandigarh(1),2026,BS VI,"4,098"
11,PETROL/HYBRID,Chandigarh(1),2026,BS VI,102
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,BS VI,1
13,PURE EV,Chandigarh(1),2026,BS VI,0
14,STRONG HYBRID EV,Chandigarh(1),2026,BS VI,257
1,CNG ONLY,Chandigarh(1),2026,B(T)S III,0
2,DIESEL,Chandigarh(1),2026,B(T)S III,0
3,DIESEL/HYBRID,Chandigarh(1),2026,B(T)S III,0
4,ELECTRIC(BOV),Chandigarh(1),2026,B(T)S III,0
5,ETHANOL,Chandigarh(1),2026,B(T)S III,0
6,PETROL,Chandigarh(1),2026,B(T)S III,0
7,PETROL/CNG,Chandigarh(1),2026,B(T)S III,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,B(T)S III,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,B(T)S III,0
10,PETROL/ETHANOL,Chandigarh(1),2026,B(T)S III,0
11,PETROL/HYBRID,Chandigarh(1),2026,B(T)S III,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,B(T)S III,0
13,PURE EV,Chandigarh(1),2026,B(T)S III,0
14,STRONG HYBRID EV,Chandigarh(1),2026,B(T)S III,0
1,CNG ONLY,Chandigarh(1),2026,B(T)S III A,0
2,DIESEL,Chandigarh(1),2026,B(T)S III A,0
3,DIESEL/HYBRID,Chandigarh(1),2026,B(T)S III A,0
4,ELECTRIC(BOV),Chandigarh(1),2026,B(T)S III A,0
5,ETHANOL,Chandigarh(1),2026,B(T)S III A,0
6,PETROL,Chandigarh(1),2026,B(T)S III A,0
7,PETROL/CNG,Chandigarh(1),2026,B(T)S III A,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,B(T)S III A,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,B(T)S III A,0
10,PETROL/ETHANOL,Chandigarh(1),2026,B(T)S III A,0
11,PETROL/HYBRID,Chandigarh(1),2026,B(T)S III A,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,B(T)S III A,0
13,PURE EV,Chandigarh(1),2026,B(T)S III A,0
14,STRONG HYBRID EV,Chandigarh(1),2026,B(T)S III A,0
1,CNG ONLY,Chandigarh(1),2026,B(T)S III B,0
2,DIESEL,Chandigarh(1),2026,B(T)S III B,0
3,DIESEL/HYBRID,Chandigarh(1),2026,B(T)S III B,0
4,ELECTRIC(BOV),Chandigarh(1),2026,B(T)S III B,0
5,ETHANOL,Chandigarh(1),2026,B(T)S III B,0
6,PETROL,Chandigarh(1),2026,B(T)S III B,0
7,PETROL/CNG,Chandigarh(1),2026,B(T)S III B,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,B(T)S III B,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,B(T)S III B,0
10,PETROL/ETHANOL,Chandigarh(1),2026,B(T)S III B,0
11,PETROL/HYBRID,Chandigarh(1),2026,B(T)S III B,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,B(T)S III B,0
13,PURE EV,Chandigarh(1),2026,B(T)S III B,0
14,STRONG HYBRID EV,Chandigarh(1),2026,B(T)S III B,0
1,CNG ONLY,Chandigarh(1),2026,CEV STAGE IV,0
2,DIESEL,Chandigarh(1),2026,CEV STAGE IV,0
3,DIESEL/HYBRID,Chandigarh(1),2026,CEV STAGE IV,0
4,ELECTRIC(BOV),Chandigarh(1),2026,CEV STAGE IV,0
5,ETHANOL,Chandigarh(1),2026,CEV STAGE IV,0
6,PETROL,Chandigarh(1),2026,CEV STAGE IV,0
7,PETROL/CNG,Chandigarh(1),2026,CEV STAGE IV,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,CEV STAGE IV,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,CEV STAGE IV,0
10,PETROL/ETHANOL,Chandigarh(1),2026,CEV STAGE IV,0
11,PETROL/HYBRID,Chandigarh(1),2026,CEV STAGE IV,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,CEV STAGE IV,0
13,PURE EV,Chandigarh(1),2026,CEV STAGE IV,0
14,STRONG HYBRID EV,Chandigarh(1),2026,CEV STAGE IV,0
1,CNG ONLY,Chandigarh(1),2026,CEV STAGE V,0
2,DIESEL,Chandigarh(1),2026,CEV STAGE V,2
3,DIESEL/HYBRID,Chandigarh(1),2026,CEV STAGE V,0
4,ELECTRIC(BOV),Chandigarh(1),2026,CEV STAGE V,0
5,ETHANOL,Chandigarh(1),2026,CEV STAGE V,0
6,PETROL,Chandigarh(1),2026,CEV STAGE V,0
7,PETROL/CNG,Chandigarh(1),2026,CEV STAGE V,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,CEV STAGE V,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,CEV STAGE V,0
10,PETROL/ETHANOL,Chandigarh(1),2026,CEV STAGE V,0
11,PETROL/HYBRID,Chandigarh(1),2026,CEV STAGE V,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,CEV STAGE V,0
13,PURE EV,Chandigarh(1),2026,CEV STAGE V,0
14,STRONG HYBRID EV,Chandigarh(1),2026,CEV STAGE V,0
1,CNG ONLY,Chandigarh(1),2026,EURO 1,0
2,DIESEL,Chandigarh(1),2026,EURO 1,0
3,DIESEL/HYBRID,Chandigarh(1),2026,EURO 1,0
4,ELECTRIC(BOV),Chandigarh(1),2026,EURO 1,0
5,ETHANOL,Chandigarh(1),2026,EURO 1,0
6,PETROL,Chandigarh(1),2026,EURO 1,0
7,PETROL/CNG,Chandigarh(1),2026,EURO 1,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,EURO 1,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,EURO 1,0
10,PETROL/ETHANOL,Chandigarh(1),2026,EURO 1,0
11,PETROL/HYBRID,Chandigarh(1),2026,EURO 1,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,EURO 1,0
13,PURE EV,Chandigarh(1),2026,EURO 1,0
14,STRONG HYBRID EV,Chandigarh(1),2026,EURO 1,0
1,CNG ONLY,Chandigarh(1),2026,EURO 2,0
2,DIESEL,Chandigarh(1),2026,EURO 2,0
3,DIESEL/HYBRID,Chandigarh(1),2026,EURO 2,0
4,ELECTRIC(BOV),Chandigarh(1),2026,EURO 2,0
5,ETHANOL,Chandigarh(1),2026,EURO 2,0
6,PETROL,Chandigarh(1),2026,EURO 2,0
7,PETROL/CNG,Chandigarh(1),2026,EURO 2,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,EURO 2,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,EURO 2,0
10,PETROL/ETHANOL,Chandigarh(1),2026,EURO 2,0
11,PETROL/HYBRID,Chandigarh(1),2026,EURO 2,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,EURO 2,0
13,PURE EV,Chandigarh(1),2026,EURO 2,0
14,STRONG HYBRID EV,Chandigarh(1),2026,EURO 2,0
1,CNG ONLY,Chandigarh(1),2026,EURO 3,0
2,DIESEL,Chandigarh(1),2026,EURO 3,0
3,DIESEL/HYBRID,Chandigarh(1),2026,EURO 3,0
4,ELECTRIC(BOV),Chandigarh(1),2026,EURO 3,0
5,ETHANOL,Chandigarh(1),2026,EURO 3,0
6,PETROL,Chandigarh(1),2026,EURO 3,0
7,PETROL/CNG,Chandigarh(1),2026,EURO 3,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,EURO 3,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,EURO 3,0
10,PETROL/ETHANOL,Chandigarh(1),2026,EURO 3,0
11,PETROL/HYBRID,Chandigarh(1),2026,EURO 3,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,EURO 3,0
13,PURE EV,Chandigarh(1),2026,EURO 3,0
14,STRONG HYBRID EV,Chandigarh(1),2026,EURO 3,0
1,CNG ONLY,Chandigarh(1),2026,EURO 4,0
2,DIESEL,Chandigarh(1),2026,EURO 4,0
3,DIESEL/HYBRID,Chandigarh(1),2026,EURO 4,0
4,ELECTRIC(BOV),Chandigarh(1),2026,EURO 4,0
5,ETHANOL,Chandigarh(1),2026,EURO 4,0
6,PETROL,Chandigarh(1),2026,EURO 4,0
7,PETROL/CNG,Chandigarh(1),2026,EURO 4,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,EURO 4,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,EURO 4,0
10,PETROL/ETHANOL,Chandigarh(1),2026,EURO 4,0
11,PETROL/HYBRID,Chandigarh(1),2026,EURO 4,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,EURO 4,0
13,PURE EV,Chandigarh(1),2026,EURO 4,0
14,STRONG HYBRID EV,Chandigarh(1),2026,EURO 4,0
1,CNG ONLY,Chandigarh(1),2026,EURO 6,0
2,DIESEL,Chandigarh(1),2026,EURO 6,0
3,DIESEL/HYBRID,Chandigarh(1),2026,EURO 6,0
4,ELECTRIC(BOV),Chandigarh(1),2026,EURO 6,0
5,ETHANOL,Chandigarh(1),2026,EURO 6,0
6,PETROL,Chandigarh(1),2026,EURO 6,0
7,PETROL/CNG,Chandigarh(1),2026,EURO 6,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,EURO 6,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,EURO 6,0
10,PETROL/ETHANOL,Chandigarh(1),2026,EURO 6,0
11,PETROL/HYBRID,Chandigarh(1),2026,EURO 6,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,EURO 6,0
13,PURE EV,Chandigarh(1),2026,EURO 6,0
14,STRONG HYBRID EV,Chandigarh(1),2026,EURO 6,0
1,CNG ONLY,Chandigarh(1),2026,EURO 6A,0
2,DIESEL,Chandigarh(1),2026,EURO 6A,0
3,DIESEL/HYBRID,Chandigarh(1),2026,EURO 6A,0
4,ELECTRIC(BOV),Chandigarh(1),2026,EURO 6A,0
5,ETHANOL,Chandigarh(1),2026,EURO 6A,0
6,PETROL,Chandigarh(1),2026,EURO 6A,0
7,PETROL/CNG,Chandigarh(1),2026,EURO 6A,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,EURO 6A,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,EURO 6A,0
10,PETROL/ETHANOL,Chandigarh(1),2026,EURO 6A,0
11,PETROL/HYBRID,Chandigarh(1),2026,EURO 6A,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,EURO 6A,0
13,PURE EV,Chandigarh(1),2026,EURO 6A,0
14,STRONG HYBRID EV,Chandigarh(1),2026,EURO 6A,0
1,CNG ONLY,Chandigarh(1),2026,EURO  6AD,0
2,DIESEL,Chandigarh(1),2026,EURO  6AD,0
3,DIESEL/HYBRID,Chandigarh(1),2026,EURO  6AD,0
4,ELECTRIC(BOV),Chandigarh(1),2026,EURO  6AD,0
5,ETHANOL,Chandigarh(1),2026,EURO  6AD,0
6,PETROL,Chandigarh(1),2026,EURO  6AD,0
7,PETROL/CNG,Chandigarh(1),2026,EURO  6AD,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,EURO  6AD,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,EURO  6AD,0
10,PETROL/ETHANOL,Chandigarh(1),2026,EURO  6AD,0
11,PETROL/HYBRID,Chandigarh(1),2026,EURO  6AD,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,EURO  6AD,0
13,PURE EV,Chandigarh(1),2026,EURO  6AD,0
14,STRONG HYBRID EV,Chandigarh(1),2026,EURO  6AD,0
1,CNG ONLY,Chandigarh(1),2026,EURO 6B,0
2,DIESEL,Chandigarh(1),2026,EURO 6B,0
3,DIESEL/HYBRID,Chandigarh(1),2026,EURO 6B,0
4,ELECTRIC(BOV),Chandigarh(1),2026,EURO 6B,0
5,ETHANOL,Chandigarh(1),2026,EURO 6B,0
6,PETROL,Chandigarh(1),2026,EURO 6B,0
7,PETROL/CNG,Chandigarh(1),2026,EURO 6B,0
8,PETROL(E20)/CNG,Chandigarh(1),2026,EURO 6B,0
9,PETROL(E20)/HYBRID,Chandigarh(1),2026,EURO 6B,0
10,PETROL/ETHANOL,Chandigarh(1),2026,EURO 6B,0
11,PETROL/HYBRID,Chandigarh(1),2026,EURO 6B,0
12,PLUG-IN HYBRID EV,Chandigarh(1),2026,EURO 6B,0
13,PURE EV,Chandigarh(1),2026,EURO 6B,0
14,STRONG HYBRID EV,Chandigarh(1),2026,EURO 6B,0
1,CNG ONLY,Chandigarh(1),2026,EURO 6C,0
2,DIESEL,Chandigarh(1),2026,EURO 6C,0
3,DIESEL/HYBRID,Chandigarh(1),2026,EURO 6C,0
4,ELECTRIC(BOV),Chandigarh(1),2026,EURO 6C,0
5,ETHANOL,Chandigarh(1),2026,EURO 6C,0
6,PETROL,Chandigarh(1),2026,EURO 6C,0
7,PETROL/CNG,Chandigarh(1),2026,EURO 6C,0
